prob,mother_age,child_age,gender
0,1,0,female
0,2,0,female
0,3,0,female
0,4,0,female
0,5,0,female
0,6,0,female
0,7,0,female
0,8,0,female
0,9,0,female
0,10,0,female
0,11,0,female
0,12,0,female
0,13,0,female
0,14,0,female
0.0111342586636192,15,0,female
0.0111342586636192,16,0,female
0.0111342586636192,17,0,female
0.0111342586636192,18,0,female
0.0111342586636192,19,0,female
0.048255334158478,20,0,female
0.048255334158478,21,0,female
0.048255334158478,22,0,female
0.048255334158478,23,0,female
0.048255334158478,24,0,female
0.087969571229297,25,0,female
0.087969571229297,26,0,female
0.087969571229297,27,0,female
0.087969571229297,28,0,female
0.087969571229297,29,0,female
0.10435083047709,30,0,female
0.10435083047709,31,0,female
0.10435083047709,32,0,female
0.10435083047709,33,0,female
0.10435083047709,34,0,female
0.0616551400985624,35,0,female
0.0616551400985624,36,0,female
0.0616551400985624,37,0,female
0.0616551400985624,38,0,female
0.0616551400985624,39,0,female
0.0150707398631663,40,0,female
0.0150707398631663,41,0,female
0.0150707398631663,42,0,female
0.0150707398631663,43,0,female
0.0150707398631663,44,0,female
0.0012034487830099,45,0,female
0.0012034487830099,46,0,female
0.0012034487830099,47,0,female
0.0012034487830099,48,0,female
0.0012034487830099,49,0,female
0,50,0,female
0,51,0,female
0,52,0,female
0,53,0,female
0,54,0,female
0,55,0,female
0,56,0,female
0,57,0,female
0,58,0,female
0,59,0,female
0,60,0,female
0,61,0,female
0,62,0,female
0,63,0,female
0,64,0,female
0,65,0,female
0,66,0,female
0,67,0,female
0,68,0,female
0,69,0,female
0,70,0,female
0,71,0,female
0,72,0,female
0,73,0,female
0,74,0,female
0,75,0,female
0,76,0,female
0,77,0,female
0,78,0,female
0,79,0,female
0,80,0,female
0,81,0,female
0,82,0,female
0,83,0,female
0,84,0,female
0,85,0,female
0,86,0,female
0,87,0,female
0,88,0,female
0,89,0,female
0,90,0,female
0,91,0,female
0,92,0,female
0,93,0,female
0,94,0,female
0,95,0,female
0,96,0,female
0,97,0,female
0,98,0,female
0,99,0,female
0,100,0,female
0,1,1,female
0,2,1,female
0,3,1,female
0,4,1,female
0,5,1,female
0,6,1,female
0,7,1,female
0,8,1,female
0,9,1,female
0,10,1,female
0,11,1,female
0,12,1,female
0,13,1,female
0,14,1,female
0,15,1,female
0.0111741555856599,16,1,female
0.0111741555856599,17,1,female
0.0111741555856599,18,1,female
0.0111741555856599,19,1,female
0.0111741555856599,20,1,female
0.0484282454732886,21,1,female
0.0484282454732886,22,1,female
0.0484282454732886,23,1,female
0.0484282454732886,24,1,female
0.0484282454732886,25,1,female
0.0882847889039819,26,1,female
0.0882847889039819,27,1,female
0.0882847889039819,28,1,female
0.0882847889039819,29,1,female
0.0882847889039819,30,1,female
0.104724746430922,31,1,female
0.104724746430922,32,1,female
0.104724746430922,33,1,female
0.104724746430922,34,1,female
0.104724746430922,35,1,female
0.0618760663759406,36,1,female
0.0618760663759406,37,1,female
0.0618760663759406,38,1,female
0.0618760663759406,39,1,female
0.0618760663759406,40,1,female
0.0151247422131728,41,1,female
0.0151247422131728,42,1,female
0.0151247422131728,43,1,female
0.0151247422131728,44,1,female
0.0151247422131728,45,1,female
0.00120776105055516,46,1,female
0.00120776105055516,47,1,female
0.00120776105055516,48,1,female
0.00120776105055516,49,1,female
0.00120776105055516,50,1,female
0,51,1,female
0,52,1,female
0,53,1,female
0,54,1,female
0,55,1,female
0,56,1,female
0,57,1,female
0,58,1,female
0,59,1,female
0,60,1,female
0,61,1,female
0,62,1,female
0,63,1,female
0,64,1,female
0,65,1,female
0,66,1,female
0,67,1,female
0,68,1,female
0,69,1,female
0,70,1,female
0,71,1,female
0,72,1,female
0,73,1,female
0,74,1,female
0,75,1,female
0,76,1,female
0,77,1,female
0,78,1,female
0,79,1,female
0,80,1,female
0,81,1,female
0,82,1,female
0,83,1,female
0,84,1,female
0,85,1,female
0,86,1,female
0,87,1,female
0,88,1,female
0,89,1,female
0,90,1,female
0,91,1,female
0,92,1,female
0,93,1,female
0,94,1,female
0,95,1,female
0,96,1,female
0,97,1,female
0,98,1,female
0,99,1,female
0,100,1,female
0,1,2,female
0,2,2,female
0,3,2,female
0,4,2,female
0,5,2,female
0,6,2,female
0,7,2,female
0,8,2,female
0,9,2,female
0,10,2,female
0,11,2,female
0,12,2,female
0,13,2,female
0,14,2,female
0,15,2,female
0,16,2,female
0.0119285083653757,17,2,female
0.0119285083653757,18,2,female
0.0119285083653757,19,2,female
0.0119285083653757,20,2,female
0.0119285083653757,21,2,female
0.0504805168753045,22,2,female
0.0504805168753045,23,2,female
0.0504805168753045,24,2,female
0.0504805168753045,25,2,female
0.0504805168753045,26,2,female
0.0912678146284297,27,2,female
0.0912678146284297,28,2,female
0.0912678146284297,29,2,female
0.0912678146284297,30,2,female
0.0912678146284297,31,2,female
0.106758219645119,32,2,female
0.106758219645119,33,2,female
0.106758219645119,34,2,female
0.106758219645119,35,2,female
0.106758219645119,36,2,female
0.0634115155635952,37,2,female
0.0634115155635952,38,2,female
0.0634115155635952,39,2,female
0.0634115155635952,40,2,female
0.0634115155635952,41,2,female
0.0148003820423932,42,2,female
0.0148003820423932,43,2,female
0.0148003820423932,44,2,female
0.0148003820423932,45,2,female
0.0148003820423932,46,2,female
0.00116811857105612,47,2,female
0.00116811857105612,48,2,female
0.00116811857105612,49,2,female
0.00116811857105612,50,2,female
0.00116811857105612,51,2,female
0,52,2,female
0,53,2,female
0,54,2,female
0,55,2,female
0,56,2,female
0,57,2,female
0,58,2,female
0,59,2,female
0,60,2,female
0,61,2,female
0,62,2,female
0,63,2,female
0,64,2,female
0,65,2,female
0,66,2,female
0,67,2,female
0,68,2,female
0,69,2,female
0,70,2,female
0,71,2,female
0,72,2,female
0,73,2,female
0,74,2,female
0,75,2,female
0,76,2,female
0,77,2,female
0,78,2,female
0,79,2,female
0,80,2,female
0,81,2,female
0,82,2,female
0,83,2,female
0,84,2,female
0,85,2,female
0,86,2,female
0,87,2,female
0,88,2,female
0,89,2,female
0,90,2,female
0,91,2,female
0,92,2,female
0,93,2,female
0,94,2,female
0,95,2,female
0,96,2,female
0,97,2,female
0,98,2,female
0,99,2,female
0,100,2,female
0,1,3,female
0,2,3,female
0,3,3,female
0,4,3,female
0,5,3,female
0,6,3,female
0,7,3,female
0,8,3,female
0,9,3,female
0,10,3,female
0,11,3,female
0,12,3,female
0,13,3,female
0,14,3,female
0,15,3,female
0,16,3,female
0,17,3,female
0.0126829681401504,18,3,female
0.0126829681401504,19,3,female
0.0126829681401504,20,3,female
0.0126829681401504,21,3,female
0.0126829681401504,22,3,female
0.053720678505364,23,3,female
0.053720678505364,24,3,female
0.053720678505364,25,3,female
0.053720678505364,26,3,female
0.053720678505364,27,3,female
0.0953008509385403,28,3,female
0.0953008509385403,29,3,female
0.0953008509385403,30,3,female
0.0953008509385403,31,3,female
0.0953008509385403,32,3,female
0.10974332589575,33,3,female
0.10974332589575,34,3,female
0.10974332589575,35,3,female
0.10974332589575,36,3,female
0.10974332589575,37,3,female
0.0651327346898397,38,3,female
0.0651327346898397,39,3,female
0.0651327346898397,40,3,female
0.0651327346898397,41,3,female
0.0651327346898397,42,3,female
0.0148104437095627,43,3,female
0.0148104437095627,44,3,female
0.0148104437095627,45,3,female
0.0148104437095627,46,3,female
0.0148104437095627,47,3,female
0.00114730804657689,48,3,female
0.00114730804657689,49,3,female
0.00114730804657689,50,3,female
0.00114730804657689,51,3,female
0.00114730804657689,52,3,female
0,53,3,female
0,54,3,female
0,55,3,female
0,56,3,female
0,57,3,female
0,58,3,female
0,59,3,female
0,60,3,female
0,61,3,female
0,62,3,female
0,63,3,female
0,64,3,female
0,65,3,female
0,66,3,female
0,67,3,female
0,68,3,female
0,69,3,female
0,70,3,female
0,71,3,female
0,72,3,female
0,73,3,female
0,74,3,female
0,75,3,female
0,76,3,female
0,77,3,female
0,78,3,female
0,79,3,female
0,80,3,female
0,81,3,female
0,82,3,female
0,83,3,female
0,84,3,female
0,85,3,female
0,86,3,female
0,87,3,female
0,88,3,female
0,89,3,female
0,90,3,female
0,91,3,female
0,92,3,female
0,93,3,female
0,94,3,female
0,95,3,female
0,96,3,female
0,97,3,female
0,98,3,female
0,99,3,female
0,100,3,female
0,1,4,female
0,2,4,female
0,3,4,female
0,4,4,female
0,5,4,female
0,6,4,female
0,7,4,female
0,8,4,female
0,9,4,female
0,10,4,female
0,11,4,female
0,12,4,female
0,13,4,female
0,14,4,female
0,15,4,female
0,16,4,female
0,17,4,female
0,18,4,female
0.013730613009629,19,4,female
0.013730613009629,20,4,female
0.013730613009629,21,4,female
0.013730613009629,22,4,female
0.013730613009629,23,4,female
0.0558397767881441,24,4,female
0.0558397767881441,25,4,female
0.0558397767881441,26,4,female
0.0558397767881441,27,4,female
0.0558397767881441,28,4,female
0.0987641628457925,29,4,female
0.0987641628457925,30,4,female
0.0987641628457925,31,4,female
0.0987641628457925,32,4,female
0.0987641628457925,33,4,female
0.111941461374537,34,4,female
0.111941461374537,35,4,female
0.111941461374537,36,4,female
0.111941461374537,37,4,female
0.111941461374537,38,4,female
0.0668993439788038,39,4,female
0.0668993439788038,40,4,female
0.0668993439788038,41,4,female
0.0668993439788038,42,4,female
0.0668993439788038,43,4,female
0.0146678375820094,44,4,female
0.0146678375820094,45,4,female
0.0146678375820094,46,4,female
0.0146678375820094,47,4,female
0.0146678375820094,48,4,female
0.00110285274516578,49,4,female
0.00110285274516578,50,4,female
0.00110285274516578,51,4,female
0.00110285274516578,52,4,female
