0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,0.0033393269971744156,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,0.0033393269971744156,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0.0034174553101997897,0.003367875647668394,0.0033393269971744156,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0.003367875647668394,0.0033393269971744156,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0.0033393269971744156,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,5.033979360684622e-4,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,5.055611729019212e-4,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,5.090353779587681e-4,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,5.132152938157557e-4,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,5.177323323841574e-4,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,5.277044854881266e-4,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,5.310674455655868e-4,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,5.336179295624333e-4,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,5.344735435595938e-4,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.331911490269261e-4,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202122283981809,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020222446916076846,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002026342451874367
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
